Levels;Contaminations;Depth
c(3, 6, 3, 3, 3);6;5
c(3, 9, 15, 15, 9, 6, 3);20;7
c(3, 9, 21, 18, 27, 18, 15, 3);38;8
c(3, 9, 15, 27, 30, 24, 15, 3, 3);43;9
c(3, 6, 12, 18, 15, 21, 12, 6);31;8
c(3, 6, 6, 12, 9, 9);15;6
c(3, 6, 6, 3, 3);7;5
c(3, 6, 3, 9, 3);8;5
c(3, 9, 18, 21, 27, 18, 6, 9, 3);38;9
c(3, 9, 12, 9, 6, 6);15;6
c(3, 6, 9, 18, 18, 21, 15, 6, 3);33;9
c(3, 9, 18, 36, 24, 15, 9, 3);39;8
c(3, 6, 9, 15, 15, 6, 3);19;7
c(3, 9, 9, 9, 9, 9, 3);17;7
c(3, 9, 15, 15, 12, 6);20;6
c(3, 6, 9, 15, 15, 9, 12, 9, 3);27;9
c(3, 6, 6, 9, 9, 3);12;6
c(3, 6, 9, 18, 15, 9, 6, 3, 3);24;9
c(3, 9, 9, 6, 9, 6, 9, 3);18;8
c(3, 3, 9, 18, 12, 9, 3);19;7
c(3, 9, 18, 33, 36, 27, 18, 3);49;8
c(3, 9, 15, 33, 24, 15, 24, 9, 3, 3);46;10
c(3, 9, 15, 24, 18, 12, 9, 3);31;8
c(3, 9, 15, 18, 12, 6, 3);22;7
c(3, 9, 21, 39, 45, 27, 18, 9, 3);58;9
c(3, 3, 9, 15, 18, 3);17;6
c(3, 9, 9, 12, 6, 3);14;6
c(3, 9, 15, 3);10;4
c(3, 9, 18, 27, 24, 18, 6, 3);36;8
c(3, 6, 6, 6, 3);8;5
c(3, 6, 6, 9, 15, 15, 9, 3);22;8
c(3, 9, 21, 24, 33, 30, 15, 3);46;8
c(3, 6, 15, 27, 33, 12, 9, 3);36;8
c(3, 3, 6, 6, 3, 3, 3);9;7
c(3, 9, 18, 18, 30, 21, 6);35;7
c(3, 6, 6, 15, 6);12;5
c(3, 3, 6, 6, 6);8;5
c(3, 3);2;2
c(3, 9, 12, 15, 21, 24, 12, 6, 3);35;9
c(3, 6, 12, 15, 21, 12, 3);24;7
c(3, 9, 18, 24, 12, 6, 6);26;7
c(3);1;1
c(3, 3, 9, 12, 9, 9, 6, 6, 3);20;9
c(3);1;1
c(3, 6, 9, 12, 18, 9, 18, 9);28;8
c(3, 9, 21, 42, 45, 15, 15, 6);52;8
c(3, 3, 3, 3, 6);6;5
c(3, 9, 6, 6, 3, 3, 9);13;7
c(3, 6, 9, 15, 15, 24, 12, 3);29;8
c(3, 9, 15, 21, 15, 15, 9);29;7
c(3, 6, 12, 15, 15, 3);18;6
c(3, 9, 12, 24, 21, 21, 24, 9, 9, 3, 3);46;11
c(3, 3, 6, 9, 9, 3);11;6
c(3, 6, 6, 6, 12, 15, 9, 6, 3);22;9
c(3, 9, 15, 24, 24, 18, 18, 9, 3, 3);42;10
c(3, 3, 6, 3, 9, 9, 6);13;7
c(3, 6, 12, 12, 15, 9, 3);20;7
c(3, 6, 6, 3, 3);7;5
c(3, 9, 18, 36, 33, 12, 9, 6, 3);43;9
c(3, 6, 12, 9);10;4
c(3, 9, 9, 6, 3);10;5
c(3, 9, 15, 18, 12, 3);20;6
c(3, 3, 6, 3, 3);6;5
c(3, 6, 15, 18, 6, 6, 3);19;7
c(3, 9, 15, 18, 21, 18, 12, 12, 6);38;9
c(3, 6, 9, 6, 9, 6);13;6
c(3, 9, 21, 45, 57, 24, 18, 12, 3);64;9
c(3, 6, 9, 9, 3);10;5
c(3, 3, 9, 9, 15, 3, 3, 6, 3);18;9
c(3, 3, 6, 3);5;4
c(3, 9, 15, 12);13;4
c(3, 6, 15, 12, 27, 21, 6, 3);31;8
c(3, 3, 6, 6, 3, 3, 3, 3);10;8
c(3, 3, 3, 3, 3, 3);6;6
c(3, 6, 9, 12, 15, 12, 12, 3);24;8
c(3, 6, 15, 18, 21, 9, 6);26;7
c(3, 9, 12, 15, 21, 9, 9);26;7
c(3, 9, 15, 24, 24, 18, 18, 6);39;8
c(3, 3, 3, 6, 6);7;5
c(3, 3, 3, 6, 6, 6, 3, 3);11;8
c(3, 9, 15, 9, 3);13;5
c(3, 6, 9, 12, 15, 9, 3, 3);20;8
c(3, 9, 18, 18, 12, 12, 15, 9, 6);34;9
c(3, 6, 6, 6, 9, 3, 3);12;7
c(3, 6, 12, 15, 15, 15, 6, 3);25;8
c(3, 9, 12, 15, 12);17;5
c(3, 9, 18, 15, 9, 12, 3);23;7
c(3, 6, 12, 18, 27, 27, 9, 3, 3);36;9
c(3, 9, 6, 6, 3);9;5
c(3, 9, 12, 12, 18, 9, 3);22;7
c(3, 9, 9, 18, 15, 9);21;6
c(3, 9, 18, 18, 12, 9, 3, 3);25;8
c(3, 9, 12, 15, 18, 18, 6, 6);29;8
c(3, 9, 9, 12, 9, 6, 3);17;7
c(3, 9, 12, 24, 12, 6, 3);23;7
c(3, 9, 12, 21, 21, 21, 9, 3, 3);34;9
c(3);1;1
c(3, 9, 18, 21, 21, 6, 3);27;7
c(3, 6, 9, 9, 12, 3);14;6
c(3, 6, 12, 18, 18, 21);26;6
c(3, 9, 15, 15, 15, 6, 6, 3);24;8
c(3, 9, 12, 9, 12, 9);18;6
c(3, 6, 9, 18, 6, 9, 3);18;7
c(3, 6, 12, 15, 15, 9, 12, 6);26;8
c(3, 9, 18, 21, 27, 21, 24, 6);43;8
c(3, 6, 15, 15, 9, 3, 3);18;7
c(3, 6, 3, 6, 6, 6, 3, 3);12;8
c(3, 6, 12, 18, 12, 9);20;6
c(3, 9, 15, 15, 18, 12, 3, 3, 3);27;9
c(3, 9, 12, 18, 15, 18, 6);27;7
c(3, 6, 9, 9, 6, 3);12;6
c(3, 9, 12, 18, 3);15;5
c(3, 6, 6, 9, 9, 9, 6);16;7
c(3, 3, 3);3;3
c(3, 9, 6, 9, 3);10;5
c(3, 9, 9, 9, 12, 9, 6, 3);20;8
c(3, 6, 9, 12, 9, 6, 6);17;7
c(3, 6, 6, 3, 3, 3, 3);9;7
c(3, 6, 12, 15, 9, 12, 3);20;7
c(3, 3, 6, 6, 12, 3, 3, 3);13;8
c(3, 6, 3);4;3
c(3, 3, 3, 3, 6, 3);7;6
c(3);1;1
c(3, 6, 12, 15, 15, 12, 15, 3);27;8
c(3, 9, 18, 21, 24, 12, 9, 3);33;8
c(3, 9, 15, 18, 15, 3);21;6
c(3, 9, 21, 27, 36, 15, 9, 3, 3);42;9
c(3, 9, 12, 15, 18, 9, 12, 6);28;8
